,关键词,作者,正文,时间,内容源
0,黑臭,乐居网福州,#拱趴福州城#【福清67.6亿打造三条“轴线”】为让龙江流域回归自然生态，福清学习借鉴福州市区黑臭水体治理经验，计划生成了河道治理、水质提升、公园建设等271项总投资67.6亿元的项目包，对龙江干流和虎溪、太城溪、关溪、大北溪4条支流进行全面系统治理。统筹抓好水里、岸上、两侧等整治，实施智慧监管，把龙江打造成福清城市生态轴、景观轴、发展轴，最终实现龙江流域水清、河畅、岸绿、生态、安全的目标。O67.6亿？！福清将建7座江滨公园！还有16公里道路建设中！,2020-11-25,微博
1,黑臭,福州日报,福州新闻【三捷河：江河交错、商贾云集】飞檐翘角、精致花窗，与暗流涌动的三捷河将上下杭街区勾勒出千年前的样子。这里曾经是福州的商业中心和航运码头，百货随潮船入市，万家沽酒户垂帘。河水黑臭，污泥外落，曾经的三捷河与两岸风光格格不入。榕城水系综合治理赋予三捷河第二次生命，经过铺设污水管道控源截污，全面清淤治理内源污染等多个步骤的治理，河道情况有了很大改善。水流动起来了，没有异味与淤泥，河水与河畔相互映衬，游人如织。O三捷河：江河交错、商贾云集,2020-11-17,微博
2,黑臭,福州胡州人,福州【流花溪：飞花逐流水】绿树夹道，曲径通幽。流花溪隐匿在楼宇间，经过水系治理，内河变成景观河，给生活在周遭的居民带来满满的幸福感。曾经的流花溪是一条垃圾河，周边环境被破坏、水体黑臭等问题严重。近年来，全市打响水系综合治理攻坚战，打造了新的景观形态和生态廊道。不仅河道全面开挖贯通和控源截污，流花溪两岸也种植了50多个品种绿植，新增绿化面积约17.6万平方米，通过水上岸上一同治理，完善公共设施，打造了与市民生活联系更加紧密的城市空间。via@福州发布#胡州人讲福州#,2020-11-12,微博
3,黑臭,福州发布,#福州城建##漫步福州#【福州城市黑臭水体治理及供排水设施建设全面推进】为持久护好城市水色，福州在全力推进水系治理长效管护同时，还以厂、网、河一体化为标准，同步加快建设、补齐雨污设施短板。目前，城区44条黑臭水体全部消除黑臭，基本实现“水清、河畅、岸绿、景美”的目标。全市城镇污水处理厂出水标准均达到一级A标准。同时通过提标改造及扩容，四城区5座污水处理厂处理能力从93万吨/日提高到99万吨/日，全市17座污水厂污水处理总能力达到151.5万吨/日。O福州城市黑臭水体治理及供排水设施建设全面推进,2020-11-04,微博
4,黑臭,福建新闻广播fm1036,#1036动新闻#【2020年福州市河湖长制工作情况新闻发布会发布:福州市城区44条黑臭水体全部消除黑臭】记者从今天上午举行的2020年福州市河湖长制工作情况新闻发布会上了解到，福州市紧密围绕打好“黑臭水体治理攻坚战”的总体要求，下大力气彻底治理黑臭水体，不断做好整治“加法”，把治理的范围从黑臭水体本身扩展到与之关联的其他主干河道和支流，对城区107条主干河道、49条支流实施全流域治理，开展了福州市有史以来最大规模的水系综合治理工作，取得较为明显的成效。目前福州市城区44条黑臭水体全部消除黑臭，基本实现“水清、河畅、岸绿、景美”的目标，2018年福州市获评首批“全国黑臭水体治理示范城市”。全市7个项目包中，新店片区、鼓台中心区、晋安东区、金山片区等4个水系综合治理PPP项目已通过整体验收转入正式运营。年底前再完成仓山龙津阳岐水系和仓山会展片区水系验收。三江口片区水系结合片区改造快速推进，明年底完工。此外，长乐区、福清市、闽侯县、连江县、罗源县、永泰县、闽清县、高新区管委会对照省、市“水十条”及《城市黑臭水体治理攻坚战实施方案》，积极开展建成区黑臭水体治理工作，确保于2020年底前将各县（市）建成区范围内的黑臭水体总量控制在10%以内；强化日常管理，确保已经治理的水体水质不出现反复。,2020-11-03,微博
5,黑臭,福州晚报,【“数”说福州美好城市生活】曾经的黑臭内河，综合整治后变得“水清、岸绿、景美”；曾经易涝、火患大、居住环境差的旧屋区，改造后成了现代小区；街道靓起来，公园多起来，道路顺畅起来……这些内容，都在本届世界城市日中国主场（福州）活动的“福州及中国城市建设案例展”中得到展示。出于疫情防控需要，市民不能到现场看展（注：本次盛会打造“云会场”，通过现场直播、短视频、文图滚动等形式展示活动内容），但是城市建设带来的幸福感，早已出现在每个市民的身边。（福州晚报）O“数”说福州美好城市生活,2020-10-31,微博
6,黑臭,福州同城会,#爱上福州城#【“数”说福州美好城市生活】曾经的黑臭内河，综合整治后变得“水清、岸绿、景美”；曾经易涝、火患大、居住环境差的旧屋区，改造后成了现代小区；街道靓起来，公园多起来，道路顺畅起来……这些内容，都在本届世界城市日中国主场（福州）活动的“福州及中国城市建设案例展”中得到展示。出于疫情防控需要，市民不能到现场看展（注：本次盛会打造“云会场”，通过现场直播、短视频、文图滚动等形式展示活动内容），但是城市建设带来的幸福感，早已出现在每个市民的身边。（福州新闻网）,2020-10-31,微博
7,黑臭,福州新闻网fznews,福州新闻【“数”说福州美好城市生活】#2020世界城市日中国主场活动#曾经的黑臭内河，综合整治后变得“水清、岸绿、景美”；曾经易涝、火患大、居住环境差的旧屋区，改造后成了现代小区；街道靓起来，公园多起来，道路顺畅起来……这些内容，都在本届世界城市日中国主场（福州）活动的“福州及中国城市建设案例展”中得到展示。出于疫情防控需要，市民不能到现场看展（注：本次盛会打造“云会场”，通过现场直播、短视频、文图滚动等形式展示活动内容），但是城市建设带来的幸福感，早已出现在每个市民的身边。#全力打造幸福之城#O“数”说福州美好城市生活,2020-10-31,微博
8,黑臭,福州生态环境,#寻找福州美##福州生态美#【光明港：截污清淤颜值提升】曾经的光明港被诟病不少垃圾漂浮、河水腐臭、岸边堆弃市民都是捂住口鼻，匆匆经过但随着福州市水系综合治理的推进光明港展露新颜，成为市民闲散的好去处光明港一支河、光明港二支河从黑臭河沟升级成了水清、岸绿、景美河道实现了河水变清、两岸变绿的美好景象（via影像福州）,2020-10-27,微博
9,黑臭,福州晚报,【来看看福州治水版“一千零一夜”】从2016年下半年开始，一场持续“一千零一夜”的城区水系综合治理攻坚战全面打响。经过此番治水，福州防涝能力大幅提升，涉水短板逐步补齐，基本实现“水清、河畅、岸绿、景美”的目标，群众满意度达90%以上。2018年，福州获评“全国黑臭水体治理示范城市”；2019年，国家发改委在贵州召开国家生态文明试验区建设经验交流会，福州创新水系综合治理工作作为典型经验在会上交流。福州以水为笔，绘就生态画卷。一起来看看→O来看看治水版“一千零一夜”,2020-10-22,微博
