id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4575885980863958,JvQ8K3CKO,2637021793,鼓楼发布,【鼓楼：立足“稳、准、实”，打通信访举报“最后一公里”】日前，福州市鼓楼区纪委监委相关负责人带领信访室和对口纪检监察干部到安泰街道开展带信下访。这是鼓楼区纪委监委传承弘扬“四下基层”“四个万家”优良作风，打通纪检监察信访举报“最后一公里”的一个缩影。via鼓楼区纪委监委,,,,,2,0,2,2020-11-27 14:48,HUAWEI Mate 20,['http://ww2.sinaimg.cn/large/9d2dc261gy1gl3qcutf29j20m80getbd.jpg'],,
4554792691302509,JmZpj5sQd,5079113822,福建检察,#福建检讯#【一站通！福州市检察机关检察服务中心和公益诉讼线索受理中心建成启用】9月28日上午，新建成的福州市检察机关检察服务中心和公益诉讼线索受理中心在福州市晋安区检察院（远洋路59号）正式启用，为群众实时提供信访、举报、申诉以及涉检矛盾纠纷调解等12309检察服务和公益诉讼线索受理的“一站通”服务。福建省检察院巡视员王小青，省院二级巡视员、第十检察部主任郭鹤，福州市检察院党组书记、检察长张时贵，市委政法委常务副书记郭家彬，晋安区委常委、政法委书记丁振新等领导及市信访局、市公安局、市中级法院、市司法局等有关部门领导出席启用仪式，仪式由福州市院检委会专职委员吴诗疆主持。@福州检察之窗O一站通！福州市检察机关检察服务中心和公益诉讼线索受理中心建成启用,,,福州检察之窗,福建检讯,4,0,2,2020-09-30 09:51,微博 weibo.com,,,
4551987017031105,JlOq1tv6V,7305965529,用户7305965529,福州市晋安区鼓山镇横屿村直街小组长叶克棋侵占小组集体财产，村民从2016年信访举报诉求，几年时间得不到有关部门的处理。,,福州·温泉东汤小区,,,0,0,0,2020-09-22 16:02,vivo智能手机,,,
4427981675859481,IbJVJoAjL,6299519100,陈九源苦竹,《福州市群众信访举报转办和边督边改公开情况一览表（第二批）_边督边改_市生态环境局》有事搜一搜，没事看一看O网页链接,,,,,0,0,0,2019-10-16 11:29,百度App,['http://ww2.sinaimg.cn/large/006Sk8GMgy1g7zvs5t7ghj301c01cjr5.jpg'],,
4408597024468603,I3BEaiKuf,5645444706,福建生态环境,【中央第二生态环境保护督察组向我省交办第三十二批群众信访举报件47件】8月23日，中央第二生态环境保护督察组向我省交办第三十二批群众信访举报件47件。其中来电举报0件，来信举报47件。从区域分布上看，福州5件、厦门4件、漳州11件、泉州16件、三明5件、莆田5件、南平1件、龙岩0件、宁德0件、平潭0件。O网页链接,,,,,0,0,0,2019-08-23 23:41,红米Redmi,,,
4406955382231891,I2UWm9mCf,2635759011,福州生态环境,【中央第二生态环境保护督察组向福州转办第三十一批群众信访举报件19件】O中央生态环境保护督察进行时|中央第二生态环境保护督察组向福州转办第三十一批群众信访举报件19件,,,,,0,0,0,2019-08-19 10:58,专业版微博,,,
4406676318414886,I2NGfzj5Y,2113554944,安溪县融媒体中心,【中央生态环境保护督察】8月16日，中央第二生态环境保护督察组向我省交办第三十一批群众信访举报件129件。其中来电举报62件，来信举报67件。从区域分布上看，福州19件、厦门20件、漳州38件、泉州18件、三明6件、莆田19件、南平2件、龙岩2件、宁德4件、平潭1件。截至当日，我省已累计收到并移交地方办理的信访件共4386件（含重复652件），已办结2970件（含阶段性办结，下同）。其中，福州1037件，已办结767件；厦门495件，已办结312件；漳州623件，已办结408件；泉州844件，已办结544件；三明195件，已办结134件；莆田351件，已办结222件；南平233件，已办结151件；龙岩254件，已办结180件；宁德308件，已办结214件；平潭46件，已办结38件。,,,,,0,0,0,2019-08-18 16:29,微博 weibo.com,,,
4406200076258345,I2Bi7qg53,1740952902,厦门晚报,#中央生态环境保护督察进行时#【中央第二生态环保督察组向我省交办第三十一批群众信访举报件129件】8月16日，中央第二生态环境保护督察组向我省交办第三十一批群众信访举报件129件。其中来电举报62件，来信举报67件。从区域分布上看，福州19件、厦门20件、漳州38件、泉州18件、三明6件、莆田19件、南平2件、龙岩2件、宁德4件、平潭1件。O网页链接,,,,中央生态环境保护督察进行时,0,0,0,2019-08-17 08:57,微博 weibo.com,['http://ww4.sinaimg.cn/large/67c4d546ly1g62e72uuz0j20dw05naf3.jpg'],,
4406197417039508,I2BdPtxis,1765891182,厦门日报,#中央生态环境保护督察进行时#【中央第二生态环保督察组向我省交办第三十一批群众信访举报件129件】8月16日，中央第二生态环境保护督察组向我省交办第三十一批群众信访举报件129件。其中来电举报62件，来信举报67件。从区域分布上看，福州19件、厦门20件、漳州38件、泉州18件、三明6件、莆田19件、南平2件、龙岩2件、宁德4件、平潭1件。O网页链接,,,,中央生态环境保护督察进行时,0,0,2,2019-08-17 08:46,微博 weibo.com,['http://ww2.sinaimg.cn/large/69415c6egy1g62dw7i812j20dw05n751.jpg'],,
4406032002880480,I2wV2c5lm,5645444706,福建生态环境,【中央第二生态环境保护督察组向我省交办第三十一批群众信访举报件129件】8月16日，中央第二生态环境保护督察组向我省交办第三十一批群众信访举报件129件。其中来电举报62件，来信举报67件。从区域分布上看，福州19件、厦门20件、漳州38件、泉州18件、三明6件、莆田19件、南平2件、龙岩2件、宁德4件、平潭1件。O网页链接,,,,,0,0,0,2019-08-16 21:49,红米Redmi,,,
