id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4567569128227270,JslMsywhU,2639029341,福州发布,#福州便民信息##福州民生#【有人污染内河？可拨打96133反映】经过水系综合整治，福州内河成了市民的“幸福河”。幸福来之不易，如果发现有人污染内河该怎么办呢？市民可拨打96133反映。省、市、县三级河长制办公室统一建立了河湖长制工作监督联络电话96133，该热线去年3月开通，24小时无休无假全年全时段受理投诉举报和意见建议。当96133接到群众反映后，省呼叫中心将根据属地和行业归属立即传达到对应地区，具体负责的各县（市、区）河长制办公室在接受工单后，组织相关人员及时调查处理，10个工作日内将处理情况反馈给投诉人和呼叫中心。O有人污染内河？可拨打96133反映,,,,"福州便民信息,福州民生",1,1,3,2020-11-04 16:00,微博 weibo.com,"['http://ww1.sinaimg.cn/large/9d4c645dly1gkcynbb7puj20p00exgxf.jpg', 'http://ww2.sinaimg.cn/large/9d4c645dly1gkcynatl4pj20r80ghq6v.jpg']",,
4562934749733787,JqpdEEQcz,5050839866,莆田广播电视台,【莆田：黑臭水体治理持续推进守住碧水清流】我市持续推进城市内河水系综合整治，建立长效机制，加强河道监管，发现问题及时整改，防止水体“返黑返臭”，守护好莆田的碧水清流，让“洁净”水体和生态美景造福人民。L莆田广播电视台的微博视频,,,,,0,0,0,2020-10-22 21:04,微博视频,,"http://f.video.weibocdn.com/0001TJqYgx07HptA2Sj601041200urnL0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663717&ssig=jRwwvOWR1f&KID=unistore,video",
4554115977581754,JmHNPvOmm,2062571151,清新福建文旅之声,#福至心灵#带你游晋安~福州，是一座建城已有两千多年历史的文化名城，不仅温泉资源丰富，内城水系也极为发达，有“江南水乡”之韵味。近几年，福州整治内河环境，并打造成多条水上游船旅游线路，已然成为市民和游客的休闲旅游好去处。晋安河游船便是其中的一条，今年还被福州评为十大网红打卡点。晋安河，是福州最大、最有悠久历史的人工运河，北通新店溪，南通闽江，是福州城区纵贯南北的水路干线和景观廊道。乘坐游船从温泉公园码头出发，沿途绿荫密布，桥多亭多，不仅可以看到福州新城的巨大变化，也可遍览晋安八景，是福州文化精髓的汇集地。有一个好消息，至今年年底，乘坐游船只需花一元钱，相当于免费请大家来游玩，你还不赶紧来打卡。哦对了，据说周末晚上去晚了根本买不到票。具体攻略稍后我会发布。via：@志远天下行,,,志远天下行,福至心灵,1,0,6,2020-09-28 13:02,微博 weibo.com,"['http://ww4.sinaimg.cn/large/002fAkYDly1gj643oxkedj60j60csaeh02.jpg', 'http://ww4.sinaimg.cn/large/002fAkYDly1gj643oxxq8j60j60csgow02.jpg', 'http://ww1.sinaimg.cn/large/002fAkYDly1gj643ow9oxj60j60cs41i02.jpg', 'http://ww1.sinaimg.cn/large/002fAkYDly1gj643ozfz0j60j60csn2802.jpg', 'http://ww2.sinaimg.cn/large/002fAkYDly1gj643ozbzwj60j60csq7s02.jpg', 'http://ww1.sinaimg.cn/large/002fAkYDly1gj643owxtmj60j60csq5t02.jpg', 'http://ww4.sinaimg.cn/large/002fAkYDly1gj643p2c02j60j60sr45q02.jpg', 'http://ww2.sinaimg.cn/large/002fAkYDly1gj643p3me5j60j60srahc02.jpg', 'http://ww4.sinaimg.cn/large/002fAkYDly1gj643p2ydtj60j60srjw802.jpg']",,
4552747997988173,Jm8dpxw5v,1401247560,志远天下行,#精彩福州in你而红#仅花一元游福州“江南”，遍览晋安八景，它不香吗？福州，是一座建城已有两千多年历史的文化名城，不仅温泉资源丰富，内城水系也极为发达，有“江南水乡”之韵味。近几年，福州整治内河环境，并打造成多条水上游船旅游线路，已然成为市民和游客的休闲旅游好去处。晋安河游船便是其中的一条，今年还被福州评为十大网红打卡点。晋安河，是福州最大、最有悠久历史的人工运河，北通新店溪，南通闽江，是福州城区纵贯南北的水路干线和景观廊道。乘坐游船从温泉公园码头出发，沿途绿荫密布，桥多亭多，不仅可以看到福州新城的巨大变化，也可遍览晋安八景，是福州文化精髓的汇集地。有一个好消息，至今年年底，乘坐游船只需花一元钱，相当于免费请大家来游玩，你还不赶紧来打卡。哦对了，据说周末晚上去晚了根本买不到票。具体攻略稍后我会发布。@遇见福州@清新福建文旅之声,,福州·晋安河游船,"遇见福州,清新福建文旅之声",精彩福州 in你而红,2,4,7,2020-09-24 18:26,HUAWEI P30,"['http://ww3.sinaimg.cn/large/53855748ly1gj1wzh3h89j218y0tye81.jpg', 'http://ww2.sinaimg.cn/large/53855748ly1gj1wzi8evpj218y0ty7wh.jpg', 'http://ww3.sinaimg.cn/large/53855748ly1gj1wzjcyx8j218y0ty4qp.jpg', 'http://ww2.sinaimg.cn/large/53855748ly1gj1wzkum57j218y0tykjl.jpg', 'http://ww1.sinaimg.cn/large/53855748ly1gj1wzmfvkcj218y0tyhdt.jpg', 'http://ww3.sinaimg.cn/large/53855748ly1gj1wznqutnj218y0ty4qp.jpg', 'http://ww2.sinaimg.cn/large/53855748ly1gj1wzotocdj20u01904qp.jpg', 'http://ww3.sinaimg.cn/large/53855748ly1gj1wzpydjnj20u01907wh.jpg', 'http://ww2.sinaimg.cn/large/53855748ly1gj1wzqx4chj20u01901kx.jpg']",,
4544694900755691,JiKIy3aAz,2540184984,福州晚报,#有福之州文明同行#【华丽蝶变！“飞花逐流水”再现流花溪】过去的流花溪，两岸花开时，溪上花香四溢，花谢时，落花顺水而去，流花溪正因“飞花逐流水”而得名。这是老福州人关于这条内河的美好记忆。2016年，流花溪全面启动整治，如今这样的美景又“回来”啦！详情请戳O“飞花逐流水”再现流花溪,,,,有福之州 文明同行,0,0,0,2020-09-02 13:06,微博 weibo.com,['http://ww3.sinaimg.cn/large/97682598ly1gic3lxjs2uj20aw079q9c.jpg'],,
4542262929003863,JhJs0BMjB,5222483217,AkaLaTataa,#八闽青春献祖国##保护母亲河有我河小禹#晋安河横跨福州市晋安区南北，是福州市最长，流域最大的城市内河。近年来，福州市委市政府大力开展内河综合整治工作，晋安河进行了三次大规模改造，不仅让沿河区域水质提升，解决阻水问题，而且让晋安河沿岸景观脱胎换骨，实现市民对河畅、水清、岸绿、景美的期盼。作为福建农林大学的一员，我们应该为生态文明建设和可持续发展贡献青春力量。在本次“河小禹”专项行动中，我们呼吁保护母亲河，从身边做起，为建设更加美好的母亲河而努力@福建农林大学团委@福建农林大学管理学院团委学生会,,,"福建农林大学团委,福建农林大学管理学院团委学生会","八闽青春献祖国,保护母亲河有我河小禹",4,31,215,2020-08-26 20:02,iPad air,"['http://ww1.sinaimg.cn/large/005Hr0shgy1gi4gsvb4smj33402c0e84.jpg', 'http://ww3.sinaimg.cn/large/005Hr0shgy1gi4gswq1erj33402c0qv7.jpg', 'http://ww3.sinaimg.cn/large/005Hr0shgy1gi4gstopp9j33402c0kjo.jpg']",,
4541931851616229,JhAQ16Msd,2282066074,石狮日报,#石狮日报即时新闻#【鸿山镇连夜行动，加强海上防控及内河船舶管控工作】今晚，鸿山镇召开海上防控专项整治暨内河船舶管控工作部署会，镇机关全体干部、各村村务工作者、东埔三个村支部书记及鸿山派出所、东埔边防所民警参加会议。会上，镇党委书记陈增坛、镇党委副书记苏斌分别就全镇海上疫情防控、内河船舶管控、船东船员宣传教育等工作进行部署。会后，与会工作人员分为12个内河船舶网格化管理小组，以专项行动小分队形式连夜行动，到各沿海村开展有关工作。一是落实宣传教育劝导，要求船东、船员认真落实内河船舶管理要求，严守疫情防控期间工作规定；二是开展内河船舶信息采集，汇总船只、船长、船员有关信息，一船一档录入信息登记表，切实做到底数清、情况明。三是重点开展海上疫情防控，结合船只信息摸排、船长船员宣传教育，传达现阶段疫情防控工作要求，切实提高工作人员敏感意识，服务疫情防控大局。(石狮日报记者张军璞报道),,,,石狮日报即时新闻,0,0,0,2020-08-25 22:06,小米CC9 美图定制版,"['http://ww3.sinaimg.cn/large/8805909agy1gi3erej7mzj21400u078a.jpg', 'http://ww4.sinaimg.cn/large/8805909agy1gi3ereuv86j21400u00xi.jpg', 'http://ww3.sinaimg.cn/large/8805909agy1gi3erf919rj21400u0q76.jpg', 'http://ww1.sinaimg.cn/large/8805909agy1gi3erfsc4gj21400u00wa.jpg', 'http://ww2.sinaimg.cn/large/8805909agy1gi3ergjl86j20ql1b9403.jpg', 'http://ww1.sinaimg.cn/large/8805909agy1gi3erhb3obj20m80a2ac1.jpg']",,
4537401027070687,JfGYetFpl,6984133374,农大gentleman,#八闽青春献祖国##保护母亲河有我河小禹#龙江是我们福清最大的河流，是我们的母亲河，伴随着历史的变迁，见证了福清近千年的变化和发展，同时建立的诸多水利工程，也造福了福清人民，成为生活和工农业的重要保障。然而随着经济的飞速发展，龙江的水质不断恶化，河水时常散发着臭味，水质达标率仅为27.8%，成为福建省12条主要水系中水质最差的内河。为此福清市人民政府着手进行整治，通过修建工程、组织志愿者清理河道等方式，龙江由此实现华丽蜕变。争做河小禹，青年学子在行动！@福建农林大学团委@福建农林大学管理学院团委学生会,,,"福建农林大学团委,福建农林大学管理学院团委学生会","八闽青春献祖国,保护母亲河有我河小禹",7,6,6,2020-08-13 10:02,iPhone客户端,"['http://ww4.sinaimg.cn/large/007CEI8ugy1ghogj2xs9gj30m80gogo6.jpg', 'http://ww3.sinaimg.cn/large/007CEI8ugy1ghogj395wkj30m80goju0.jpg', 'http://ww3.sinaimg.cn/large/007CEI8ugy1ghogj3z8uej30u00u0qbr.jpg', 'http://ww2.sinaimg.cn/large/007CEI8ugy1ghogj2jpfvj30u00u04c1.jpg']",,
4531582813343365,JdfC1e1Lf,2282066074,石狮日报,【聚焦船舶管理强力推进反走私工作】记者从石狮市反走私综合治理办公室获悉，今年以来我市坚持问题导向，聚焦船舶管理这一反走私综合治理热点难点问题，通过狠抓出海船舶报备、乡镇船舶管理、内河船舶整治，将辖区所有船舶纳入视线，大幅提升管控工作水平，强力推进反走私工作落到实处。,,,,,0,0,0,2020-07-28 08:43,微博 weibo.com,,,
4523019223400358,J9EPMegAu,2543167654,宁德晚报,【人社部门开展检查，确保高温津贴发放】高温酷暑，高温津贴是保障劳动者权益的一项重要举措，为确保津贴发放到位，连日来，市人社局组织劳动关系和劳动监察科、劳动保障监察支队、东侨人社局等相关人员深入福建省兴岩建设集团有限公司宁德中心城区内河排水口整治工程项目、福建省东飞环境集团有限公司宁德分公司等重点行业企业开展高温津贴发放情况专项检查。O网页链接,,,,,0,0,0,2020-07-04 17:34,nova4自拍极点全面屏,,,
