id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4574454498463258,JveTTzvGa,2639029341,福州发布,#漫步福州##文明福州#【梅峰河：黑水“洗白”绿映眼底】福州治水，不仅实现了水清河畅、岸绿景美，更是用水系综合治理绘出了一条条生态长廊。梅峰河则是“脱胎换骨”的代表，早年的梅峰河受周边建筑影响，暗河内排污口形成合流污水，水动力不足，水体黑臭严重。治理后的梅峰河从高空俯瞰，只见河水绿意盎然，吸引大量市民前来游玩，整洁的河畔，静谧流淌的内河，使每个人在这里可以找到一份闲适自在。O梅峰河：黑水“洗白”绿映眼底,,,,"漫步福州,文明福州",0,0,1,2020-11-23 16:00,微博 weibo.com,"['http://ww2.sinaimg.cn/large/9d4c645dly1gkz1g5mr19j20og0fp49p.jpg', 'http://ww3.sinaimg.cn/large/9d4c645dly1gkz1g5y3p0j20og0f5qgo.jpg', 'http://ww1.sinaimg.cn/large/9d4c645dly1gkz1g5p9zvj20og0eydsp.jpg', 'http://ww2.sinaimg.cn/large/9d4c645dly1gkz1g5xrsdj20og0icas6.jpg', 'http://ww1.sinaimg.cn/large/9d4c645dly1gkz1g5x7kmj20og0h67m2.jpg', 'http://ww4.sinaimg.cn/large/9d4c645dly1gkz1g5k19rj20og0f813z.jpg']",,
4566823947476245,Js2oyvmUB,2635759011,福州生态环境,#福州环保一线#【榕小环带你看一线】闽侯门口工业区不一样了。堆放在江边河道上的散煤、砂石不见了，侵占河道的违章建筑消失了，取而代之的是大片绿意临水蔓延。近日，省、市中央生态环境保护督察反馈问题整改工作第三方监督评估组来到闽侯调研时感受到，门口工业区不一样了。去年7月25日，中央第二生态环境保护督察组到闽侯县祥谦镇门口工业区福建闽信建材实业有限公司、闽侯县长祥纸业有限公司现场检查，指出两家公司的生态环境问题。　　整改过程中，闽侯县既逐个击破，也举一反三。如今，两家企业生态环境问题已整改，河岸生态已全部修复，污水管网项目建成投用，片区整治取得阶段性成效。　　走进闽信建材实业有限公司，厂房、车间都经过了密闭改造，喷淋设施让厂区如同沐浴在小雨中，沿江区域更是草木葱茏的景象。去年，闽侯县水利局对两家公司作出处罚决定，并大力开展乌龙江沿岸生态修复提升工作。拆除沿岸非法建筑9305平方米、清运渣土7.66万立方米、铺设草坪14.81万平方米、种植树木1178株，投资约4170万元，完成河岸生态修复3.82公里。　　闽信建材生产的加气砖整齐地码在固定区域里，公司负责人介绍，这些都是新上的天然气锅炉“蒸”出来的，曾经的燃煤锅炉污染问题不复存在。闽侯县于去年查处闽信公司违规套取锅炉改燃补助资金的行为和环境违法行为，还在闽信公司厂内锅炉旁安装了技术设施，对燃料使用情况进行全程监管。此外，门口工业区15家企业也经过“一企一策”整治，目前搬迁1家、停产转型1家、关停取缔4家、保留提升9家。针对沿江排水沟渠和排污口整治，祥谦镇采取了封堵沿河排放口、责令企业在厂区内设置二级生化处理设施让尾水接入污水管网或回用等。为彻底解决沿线村民和企业生活污水排放的问题，当地启动了203省道（门口—肖家道段）沿线污水管网项目，并于今年投用。“门口工业区生态环境问题整治行动迅速，效果已经体现出来了。”省、市第三方监督评估组成员表示，要巩固整改成果，完善该片区产业发展的近期、中期、远期规划，引导企业通过技改和转型升级，实现经济效益和生态效益双提升；厂容厂貌要常抓不懈，企业要承担起主体责任；还要继续提升沿线景观，水利等主管部门应注重闽江、乌龙江岸线河道侵占问题。闽侯县表示将按照省、市第三方监督评估组提出的建议，督促企业落实主体责任，巩固整改成效，加强常态化管理，确保环境问题不反弹、不回潮。,,,,福州环保一线,0,0,0,2020-11-02 14:38,微博 weibo.com,"['http://ww3.sinaimg.cn/large/9d1a7da3ly1gkatlhgrk5j20u00k0wpk.jpg', 'http://ww4.sinaimg.cn/large/9d1a7da3ly1gkatlhg8akj20u00k0qd6.jpg', 'http://ww4.sinaimg.cn/large/9d1a7da3ly1gkatlhauqlj20u00k00zs.jpg']",,
4494722263655919,IDK9Qfl4r,2636673761,马尾发布,【马尾区完成闽江流域（福州段）排放口整治工作】#马尾微资讯#日前，马尾区完成74个闽江流域（福州段）排放口整治工作，其中混合排放口有8个，排污口有14个，雨水排放口有52个。排放口水质经监测均已达标，正待市级验收。,,,,马尾微资讯,0,0,0,2020-04-17 15:32,专业版微博,,,
4450800925073955,IljyYlhXZ,2635759011,福州生态环境,【铁军风采|爸爸又要去出差了……】2019年12月9日，天还没亮，俞扬捏了捏一岁女儿的睡脸，推着行李箱出门了……身为福州市福清生态环境保护综合执法大队科员，俞扬受命抽调至江西南昌参加第三批长江入河排污口排查行动。这已经是他今年第四次抽调至省外参加生态环境部组织的专项行动。点击阅读全文：O铁军风采|爸爸又要去出差了……,,,,,0,0,0,2019-12-18 10:44,微博 weibo.com,['http://ww3.sinaimg.cn/large/9d1a7da3gy1ga0oisc2rdj20wn0dw165.jpg'],,
4449430688001189,IkJUUxztr,1698857957,海峡都市报,#海都关注#【内河恶臭难忍！小区的水果摊没人敢买，住户被迫封阳台】昨日上午，有市民拨打海都热线95060反映，有大量污水被排放至福州横江渡河内，河水发出浓烈的恶臭。记者第一时间赶到金环路和金河路交会处，发现横江渡河与采菊苑小区相邻的河段内有一处排污口，不断流出恶臭的污水。附近的摊主、居民告诉记者，自管网改造后，河水便越来越臭。福建榕信水务环境产业有限公司相关负责人表示会现场核查，尽快解决问题。详见》》》O网页链接,,,,海都关注,3,2,4,2019-12-14 16:00,微博 weibo.com,['http://ww1.sinaimg.cn/large/654283e5gy1g9w485u43xj20xk0k6wjn.jpg'],,
4448362109127781,Iki7oCiyh,5645444706,福建生态环境,【福建：明年全省小流域彻底消除“牛奶溪”地级城市建成区消灭黑臭水体】记者从福建省生态环境厅获悉，福建省日前出台《碧水攻坚“三巩固”强化监督工作方案》，对百姓身边存在的劣V类小流域、“牛奶溪”、城市建成区黑臭水体等突出水生态环境问题开展系统攻坚。《方案》明确，到2019年底，全省小流域按年均值考核消灭劣Ⅴ类水质，雨水期“牛奶溪”现象得到全面遏制，地级城市建成区黑臭水体整治成效进一步巩固，2020年，全省小流域彻底消除“牛奶溪”现象，地级城市建成区消灭黑臭水体。为精准解决一批小流域突出水环境问题，《方案》提出，以福州市龙江、莆田市木兰溪及其小流域为试点，启动入河排污口排查整治，分类整治建设项目入河排污口，基本实现不达标废水零排河，今年11月底前解决个别小流域总磷偏高的问题，并完成7条小流域治理工作，推动水质脆弱小流域综合整治。为提升一批“牛奶溪”治理成效，《方案》提出，2019年底完成建筑饰面石材加工企业排查登记工作，防止敖江流域的罗源、连江、古田已退出的石材加工企业反弹；加大对南安市、漳浦县等重难点区域石材生产建设项目环保设施“三同时”落实情况的监督检查；会同自然资源部门推动完成露天矿山排查整治，切实解决饰面石材、建筑石料矿山的污染等问题。为持续巩固一批城区黑臭水体治理成效，《方案》提出，加快组织开展内河入河排污口的排查整治，补齐城市生活污水收集和处理设施短板，2019年底前全省要完成3条黑臭水体以及周边环境排查及问题整改工作。坚持标本兼治，向支流以及上游延伸，采用控源截污、内源治理、垃圾清理、生态修复、活水保质等综合手段，推进黑臭水体整治巩固提升，从根本上解决导致水体黑臭的相关环境问题。福建省生态环境厅有关负责人表示，在强化监督过程中，我省将重点聚焦两轮中央生态环保督察发现的、人民群众反映最直接、最强烈的突出问题，严格督办落实各项整治任务，攻坚克难，形成推进整改工作的强大合力，分阶段推动水生态环境难点、堵点整改，让“清水绿岸、鱼翔浅底”常态化，不断提升群众生态环境获得感、幸福感、安全感。（原题《明年福建小流域彻底消除“牛奶溪”》来源：福建日报APP—新福建记者：潘园园）,,,,,4,2,4,2019-12-11 17:13,360安全浏览器,,,
4441148606763524,IhgsIsnv6,2426952957,福建今日热点,#福州新闻#【禁止破坏内河行为！擅建排污口、丢弃生活垃圾将严惩】擅自在内河范围放养动物、打捞鱼虫、电鱼的，怎么处罚？擅自在内河范围内新建、改建或者扩建排污口、雨水排放口的，罚多少？……日前，根据2019年新修订的《福州市城市内河管理办法》，结合实际执法情况，福州市城管委对2018年版《福州市城市管理综合执法行政处罚裁量标准》（简称裁量标准）中，涉及内河和部分公用设施管理方面的行政处罚裁量标准进行了梳理调整。详见》》》O罚3000元！！福州人千万别这样丢垃圾！¡查看图片,,,,福州新闻,0,0,1,2019-11-21 19:30,微博 weibo.com,,,
4441058010437689,Ihe6B1PRv,1698857957,海峡都市报,#福州新闻#【禁止破坏内河行为！擅建排污口、丢弃生活垃圾将严惩】擅自在内河范围放养动物、打捞鱼虫、电鱼的，怎么处罚？擅自在内河范围内新建、改建或者扩建排污口、雨水排放口的，罚多少？……日前，根据2019年新修订的《福州市城市内河管理办法》，结合实际执法情况，福州市城管委对2018年版《福州市城市管理综合执法行政处罚裁量标准》（简称裁量标准）中，涉及内河和部分公用设施管理方面的行政处罚裁量标准进行了梳理调整。详见》》》O罚3000元！！福州人千万别这样丢垃圾！,,,,福州新闻,1,1,1,2019-11-21 13:30,微博 weibo.com,['http://ww1.sinaimg.cn/large/654283e5gy1g95epfmkabj20xk0o90za.jpg'],,
4410909797509297,I4zOrvvvH,2635759011,福州生态环境,【福州召开第二次全国污染源普查质量核查工作汇报会】根据汇报，在前期清查、入户调查及后期查缺补漏工作基础上，福州市共确定工业源数量10116家（含2家伴生矿企业），规模以上畜禽养殖场261家，生活源锅炉191台，行政村2218个，入河（海）排污口926个，集中式污染治理设施127个，储油库7个，加油站316个，油品运输企业25家。详情请戳：O福州召开第二次全国污染源普查质量核查工作汇报会,,,,,0,0,0,2019-08-30 08:51,360安全浏览器,"['http://ww3.sinaimg.cn/large/9d1a7da3gy1g6hf3pcb9ej20u00k0qbh.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1g6hf3pioe9j20u00k0gwu.jpg']",,
4374416072801247,HvdTVbKJp,2105798324,福清新闻网,【福清市领导现场推进龙江等江河截污纳管建设工作】5月16日，福州市委常委、福清市委书记王进足，市长张帆带领相关部门负责人，现场推进龙江等江河截污纳管建设工作。当天，王进足一行先后察看了海口截污专管截流改造工程（元载大桥处）、太城溪西环路汇入口整治工程、龙江上游排污口整治工程、清昌大道已建管网错漏接改造工程、福人福和箱涵整治工程建设情况，现场协调解决问题。O网页链接,,,,,0,0,1,2019-05-21 15:58,360安全浏览器,,,
