id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4567571641404452,JslQw5Tms,2540184984,福州晚报,【福州1208名河（湖）长到任】昨日，福州市举办新闻发布会，介绍河长制、水污染防治及水系综合整治等情况。据了解，目前福州各市、县、乡均落实党政主要领导双河长制，共有来自各级党政部门的961名河长和247名湖长到位履职。O961名河长247名湖长“到任”,,,,,0,0,0,2020-11-04 16:10,微博 weibo.com,['http://ww3.sinaimg.cn/large/002LUm9ygy1gkcyg2ubqjj618z0u0npf02.jpg'],,
4398041970494610,HF8wd24FA,6352171949,用户6352171949,#青春心向党，实践进行时，2019福建江夏学院社会实践#于今日我们生命之源2.0小分队来到了福州市环保局进行了采访，通过相关人员的介绍对闽江水污染防治的不易有了更进一步的了解。我们决心为其供献一份力量，让我们周围对此也重视起来，让全民参与闽江水污染防治中来。@福建江夏学院团委@共青团福建省委@青春三下乡，@团中央学校部@福建团省委学校部,,,"福建江夏学院团委,共青团福建省委,青春三下乡,团中央学校部,福建团省委学校部",青春心向党，实践进行时，2019福建江夏学院社会实践,0,0,0,2019-07-25 20:39,HUAWEI nova 2 Plus,"['http://ww1.sinaimg.cn/large/006VT46hgy1g5cd95ey8cj30w70kuwj8.jpg', 'http://ww2.sinaimg.cn/large/006VT46hgy1g5cd95tinxj30nn0hsjuo.jpg', 'http://ww3.sinaimg.cn/large/006VT46hgy1g5cd96bkpsj30nn0hstbu.jpg', 'http://ww2.sinaimg.cn/large/006VT46hgy1g5cd96p4mvj30nn0hs77p.jpg']",,
4385691264190927,HzXdIhAfB,2635759011,福州生态环境,【福州开展敖江和龙江流域排污口专项排查行动】为进一步提升流域水质打好水污染防治攻坚战↓↓日前，福州市生态环境局联合市城乡建设局、市水利局、福清市政府、连江县政府、罗源县政府成立领导小组和三个排查组并会同属地城乡建设、水利、环保部门分别对连江县、罗源县和福清市开展敖江、龙江流域排污口专项排查详情戳→O福州开展敖江和龙江流域排污口专项排查行动,,,,,0,0,1,2019-06-21 18:42,搜狗高速浏览器,"['http://ww3.sinaimg.cn/large/9d1a7da3gy1g48ysmqkoqj212w0t6tkf.jpg', 'http://ww3.sinaimg.cn/large/9d1a7da3gy1g48ysmn3o7j20p00xcqaw.jpg', 'http://ww2.sinaimg.cn/large/9d1a7da3gy1g48ysmr6klj212w0t616e.jpg', 'http://ww2.sinaimg.cn/large/9d1a7da3gy1g48ysmkkbmj212j0ovjx4.jpg', 'http://ww3.sinaimg.cn/large/9d1a7da3gy1g48ysmm6kmj212u0pvdk8.jpg']",,
4362347856095934,Hq9X3pzPw,5645444706,福建生态环境,#福建环境#【省人大常委会开展水污染防治法执法检查】根据省人大常委会2019年监督工作计划安排，省人大常委会执法检查组将于4月至7月在全省开展水污染防治法执法检查。本次执法检查将首次采取三级联动、引入第三方评估方案。16日，省人大常委会水污染防治法执法检查组全体会议在福州召开，听取省政府及有关部门汇报。O省人大常委会开展水污染防治法执法检查·福建日报社数字报刊平台,,,,福建环境,0,0,1,2019-04-18 08:43,360安全浏览器,,,
4312117270658772,H55dZ2Lnm,2635759011,福州生态环境,【千年古镇里的江水“守护者”——福州闽安站】国家地表水水质自动监测站（简称水站）是监测地表水水质现状，及时预警潜在环境风险的重要基础，是评估水污染治理成效，打好水污染防治攻坚战的重要支撑，也是监测为民、服务公众的重要平台。O千年古镇里的江水“守护者”——福州闽安站,,,,,0,0,0,2018-11-30 18:05,微博 weibo.com,['http://ww3.sinaimg.cn/large/9d1a7da3gy1fxq8xs5q7lj20u00gwwgi.jpg'],,
4305820189394423,H2rpoDpUX,2635759011,福州生态环境,【环境公益广告|我们是绿水青山的守护者】生态兴则文明兴，打赢蓝天保卫战、加快水污染防治、强化土壤污染管控，福州环保人一直在不懈努力，也需要您的理解与支持！O环境公益广告|我们是绿水青山的守护者,,,,,0,0,0,2018-11-13 09:03,微博 weibo.com,['http://ww4.sinaimg.cn/large/9d1a7da3gy1fx65q8d47qj20p00goabw.jpg'],,
4293989589128474,GDr66CiJs,2635759011,福州生态环境,【多管齐下防治水污染，福州的这套“组合拳”有点厉害！】加快内河治理、推进河长制、强化专项执法……今年以来，福州市水污染防治工作不断加码，福州市主要流域I~III类水质比例达90%，县级以上水源地水质达标率均保持100%。O网页链接,,,,,0,0,0,2018-10-11 17:32,微博 weibo.com,['http://ww1.sinaimg.cn/large/9d1a7da3gy1fw4f0189y4j20p00gn0vb.jpg'],,
4279058147749798,GxaF8ww4K,5079113822,福建检察,#福建检讯#【福清检察：关注水污染防治检察建议促使污染企业停产整治】今年3月，福州市@福清检察院与水利局、住建局、农业局、河长办联合开展“一江四溪”黑臭水体整治暨河长巡河活动时发现，位于福清市海口镇东峤村的某食品有限公司附近河道水体状况令人堪忧……究竟是怎么回事，让我们一起来看看吧！O关注水污染防治检察建议促使污染企业停产整治,,,福清检察,福建检讯,9,1,6,2018-08-31 12:40,微博 weibo.com,,,
4263286159624331,GqymrEnJ9,5534693630,小小豆最可爱了,#奋进新时代，青春做先锋#“生命之源”团队的实地调研工作接近尾声，在这五天的社会实践期间，团队成员们收获满满。为了响应社会的号召，我们正在制作关于“防治水污染，我是河小禹！”主题的三折页，发给福州市民，为环保贡献出大学生的一份力量！@共青团中央学校部@共青团福建省委@福建江夏学院会计学院三委@福建江夏学院团委,,建阳市,"共青团中央学校部,共青团福建省委,福建江夏学院会计学院三委,福建江夏学院团委",奋进新时代，青春做先锋,0,1,1,2018-07-19 00:08,iPhone客户端,"['http://ww2.sinaimg.cn/large/0062z0E6gy1ftegrgwj03j31hb0rxn04.jpg', 'http://ww4.sinaimg.cn/large/0062z0E6gy1ftegrhbj74j31hc0si77v.jpg']",,
4263286075309434,Gqymjmhe2,5534693630,小小豆最可爱了,#青春建新功，实践展风采，2018江夏学子实践进行时#“生命之源”团队的实地调研工作接近尾声，在这五天的社会实践期间，团队成员们收获满满。为了响应社会的号召，我们正在制作关于“防治水污染，我是河小禹！”主题的三折页，发给福州市民，为环保贡献出大学生的一份力量！@共青团中央学校部@共青团福建省委@福建江夏学院会计学院三委@福建江夏学院团委,,建阳市,"共青团中央学校部,共青团福建省委,福建江夏学院会计学院三委,福建江夏学院团委",青春建新功，实践展风采，2018江夏学子实践进行时,0,1,1,2018-07-19 00:07,iPhone客户端,"['http://ww2.sinaimg.cn/large/0062z0E6gy1ftegnt0hrkj31hc0si77v.jpg', 'http://ww2.sinaimg.cn/large/0062z0E6gy1ftegntyaszj31hb0rxn04.jpg']",,
