id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4548652447839658,JkpFGwTs6,2165295661,丁丁看邵武,邵武【南平8个村庄入选福建省乡村生态振兴典型案例，入选数居全省首位】11日，记者从市生态环境局获悉，南平8个村庄入选《绿盈乡村助力脱贫攻坚——福建省乡村生态振兴案例选编（二）》，入选数与福州、漳州并列全省第一。邵武市大竹镇洋坑村——小流域水环境治理案例入选。🎉原文：O南平8个村庄入选福建省乡村生态振兴典型案例，入选数居全省首位#南平爆料#,,,,南平爆料,1,0,4,2020-09-13 11:11,邵武超话,"['http://ww2.sinaimg.cn/large/810fca2dgy1giovtpnwx8j20u0bz9e84.jpg', 'http://ww1.sinaimg.cn/large/810fca2dgy1giovtmunwpj20ha0mmju7.jpg', 'http://ww2.sinaimg.cn/large/810fca2dgy1giovtqjr5nj20ho0mon1s.jpg']",,
4548628066602724,Jkp2mrHFy,1895697240,福州日报,福州新闻【福州年度民生基础设施补短板项目开工超9成】#全力打造幸福之城#2020年，福州市共安排城乡民生基础设施（补短板）建设项目1335项，截至目前，已开工1213项，开工率达90.86%。整个“补短板”工作包括交通畅通、水环境治理、供水安全、防洪防涝、城乡洁净、管网建设、城乡风貌提升、配套服务、智慧城市建设等9个方面。O福州年度民生基础设施补短板项目开工超9成,,,,全力打造幸福之城,0,0,0,2020-09-13 09:35,微博 weibo.com,,,
4548611704884696,JkoBYkuJq,5364020718,福州建设发展,【福州年度民生基础设施补短板项目开工超9成】2020年，福州市共安排城乡民生基础设施（补短板）建设项目1335项，截至目前，已开工1213项，开工率达90.86%。整个“补短板”工作包括交通畅通、水环境治理、供水安全、防洪防涝、城乡洁净、管网建设、城乡风貌提升、配套服务、智慧城市建设等9个方面。,,,,,0,0,4,2020-09-13 08:30,iPhone 11 Pro,['http://ww3.sinaimg.cn/large/005R0SPcgy1giopy7sgx1j30zk0ll7bp.jpg'],,
4540038971658029,JgNAZ6Xkp,2639029341,福州发布,#榕城出游季##漫步福州#【福州大喜溪：山水相映不思返】大喜溪，隶属福州永泰嵩口镇，是大樟溪重要的水源保护地之一。近年来，福州市永泰县全面推行河长制，大喜溪河道水环境治理工作持续推进，“清四乱”专项行动有序开展。如今，大喜溪已逐步成为当地一道美丽的风景线。O福州大喜溪：山水相映不思返,,,,"榕城出游季,漫步福州",1,3,6,2020-08-20 16:45,微博 weibo.com,['http://ww4.sinaimg.cn/large/9d4c645dly1ghx3db4mx2j20rs0fn40i.jpg'],,
4539963246379275,JgLCQqLxx,6881832258,乡村乐悠游,#带着微博乡村游#【永泰大喜溪：山水相映不思返】大喜溪，隶属福州永泰嵩口镇，是大樟溪重要的水源保护地之一。近年来，福州市永泰县全面推行河长制，大喜溪河道水环境治理工作持续推进，“清四乱”专项行动有序开展。如今，大喜溪已逐步成为当地一道美丽的风景线。（via新华社）L乡村乐悠游的微博视频,,,,带着微博乡村游,0,1,2,2020-08-20 11:44,360安全浏览器,,"http://f.video.weibocdn.com/004CYp5cgx07FMmYnQco01041200IveN0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663635&ssig=DjvSYxydYe&KID=unistore,video",
4532877494857504,JdNidknEQ,5109906546,福建广电,"#奋进新时代,建设新福建#【福建：努力让八闽河湖成为造福人民的幸福河湖】全省河（湖）长制工作推进会30日在福州召开。省委书记、省总河长于伟国在会上强调，要深入学习贯彻习近平生态文明思想，坚决扛起河湖保护管理“施工队长”责任使命，全面提升水环境治理工作水平，努力让八闽河湖成为造福人民的幸福河湖。福建目前共有各级河长5829名、湖长448名。确保今年年底12条主要河流Ⅰ～Ⅲ类水质比例高于94％；县级及以上集中式生活饮用水水源地水质达标率均达100%。",,,,"奋进新时代,建设新福建",0,0,1,2020-07-31 22:27,微博 weibo.com,['http://ww1.sinaimg.cn/large/005zOE7wgy1ghaiwfkw71j30j60asdhn.jpg'],,
4532764786033425,JdKmqpjzj,2815224714,福建广播电视新闻中心,"#奋进新时代,建设新福建#【福建：努力让八闽河湖成为造福人民的幸福河湖】全省河（湖）长制工作推进会30日在福州召开。省委书记、省总河长于伟国在会上强调，要深入学习贯彻习近平生态文明思想，坚决扛起河湖保护管理“施工队长”责任使命，全面提升水环境治理工作水平，努力让八闽河湖成为造福人民的幸福河湖。福建目前共有各级河长5829名、湖长448名。确保今年年底12条主要河流Ⅰ～Ⅲ类水质比例高于94％；县级及以上集中式生活饮用水水源地水质达标率均达100%。O福建：努力让八闽河湖成为造福人民的幸福河湖",,,,"奋进新时代,建设新福建",1,0,2,2020-07-31 15:00,广电哥的Android,['http://ww4.sinaimg.cn/large/a7cceb8agy1gh9w10o56kj20sg0g0q4i.jpg'],,
4522205063451802,J9jECetYe,2105798324,福清新闻网,【生态优先绿色发展】我市启动江阴港城经济区水环境整治提升专项攻坚行动为贯彻落实习近平生态文明思想，深化落实第二轮中央生态环境保护督察反馈意见整改要求，进一步提升“一区两镇”（江阴港城经济区、江阴镇、新厝镇）水环境治理水平，走生态优先、绿色发展之路，近日，我市制定了《福州江阴港城经济区水环境整治提升专项攻坚行动方案》（以下简称《方案》）。据悉，《方案》以全面提升一区两镇水环境质量为总目标，以全面落实河湖长制为抓手，重点开展园区企业规范排污专项整治、一区两镇配套污水管网建设、污水处理厂提标改造以及生态修复、智慧管理等工程，健全完善水环境长效管理机制，实现水环境功能全面提升、持续向好，为江阴港城经济区高质量发展提供支撑和保障。O网页链接,,,,,0,0,0,2020-07-02 11:39,360安全浏览器,,,
4513483561022742,J5ELG4i3Q,2728353382,今日晋安,【大变化！福州晋安东区水系19条内河全面完成整治！】全面完成综合整治全部转入运营管养。日前，晋安东区水系治理PPP项目运营管养观摩会，在浦东河水上公园段举行。晋安东区水系项目实施方——清控人居（福州）水环境科技有限公司表示，水系包内的19条内河全部完成整治，转入运营阶段。晋安东区水系19条内河共有51.9公里截污管线、286个截流设施，26座调蓄池、7座净化站、189个沿河排口。截至目前，19条内河基本实现了远程控制以最低的成本和最高效的方式进行运营。O大变化！晋安东区水系19条内河全面完成整治！,,,,,0,0,0,2020-06-08 10:03,微博 weibo.com,"['http://ww4.sinaimg.cn/large/a29f5e66gy1gfknjdhu98j20u00jvgp3.jpg', 'http://ww4.sinaimg.cn/large/a29f5e66gy1gfknjdgy0cj20u00k00um.jpg', 'http://ww3.sinaimg.cn/large/a29f5e66gy1gfknjdkzsnj20u00k0n37.jpg']",,
4506596102886763,J2LASc6YH,2312804344,水务在线,【福州市2020年全国节约用水宣传周“水的研学”系列活动之二“水的再生”】地点：福建海峡环保集团股份有限公司园区海峡环保位于福州市鼓山南麓，是一家从事城市污水处理、水环境治理，垃圾渗沥液处理、工业废水处理、污泥垃圾固废处置等业务的大型综合类环保企业。园区内的污水处理教育基地，向孩子、家长们系统地展示了污水处理与再生回用的过程。污水处理后，达到一定标准的可以再利用于喷灌、洗车、冲洗道路等，也可以对环境进行生态补水。我们将污水处理称为“水的再生”。参观污水处理池和污泥处理后的再生土壤培育生态园，动动手，加深知识印象。①“水变身絮凝化学”小实验②“净化系统的物理观察实验”要减少污水排放、保护城市水环境，最根本的做法就是节约用水！,,,,,0,0,1,2020-05-20 09:55,360安全浏览器,"['http://ww1.sinaimg.cn/large/89da97f8gy1geyoij3mr5j20m80go759.jpg', 'http://ww3.sinaimg.cn/large/89da97f8gy1geyoij3veoj20m80godgt.jpg', 'http://ww2.sinaimg.cn/large/89da97f8gy1geyoij93ygj21400u077r.jpg', 'http://ww1.sinaimg.cn/large/89da97f8gy1geyoinumyxj20m80gowf6.jpg', 'http://ww2.sinaimg.cn/large/89da97f8gy1geyoino04qj20m80gowfw.jpg', 'http://ww4.sinaimg.cn/large/89da97f8gy1geyoinn2qpj20m80godgl.jpg', 'http://ww4.sinaimg.cn/large/89da97f8gy1geyoitomzvj20u015iae9.jpg', 'http://ww3.sinaimg.cn/large/89da97f8gy1geyoitjpxcj20go0m8gm7.jpg', 'http://ww4.sinaimg.cn/large/89da97f8gy1geyoitktanj20m80goab0.jpg']",,
