id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4575239670861110,Jvzkj3C0S,1620289655,乐居网福州,#拱趴福州城#【7个江滨公园建设中】龙江水文化公园是福清市龙江流域水系综合治理生态修复工作内容之一，总面积约295亩。公园以水文化脉络贯穿全园，通过功能的合理布局，多种文化元素的导入以及水环境、生态海绵体的构建，形成“一轴（主入口中心文化主轴线）、一带（滨江健身休闲带）、三个核心（活动康体健身区、文化艺术展示区、海丝百桥风情区）、四个节点（龙江印记、望江园广场、休闲广场、亲水平台）”的景观构架。O67.6亿？！福清将建7座江滨公园！还有16公里道路建设中！,,,,拱趴福州城,0,0,0,2020-11-25 20:00,微博 weibo.com,['http://ww4.sinaimg.cn/large/6093a877ly1gl1ftzwjgkj20fe08ggtx.jpg'],,
4571082474137948,JtPb9hmt6,2635759011,福州生态环境,【水清岸绿长江沿线展开美丽生态画卷（央视《新闻联播》）】长江经济带沿线11省市把修复长江生态环境摆在压倒性位置，走出一条生态优先、绿色发展的新路子。如今，从巴山蜀水到江南水乡，一幅幅水清岸绿的生态画卷正在长江两岸徐徐展开。点击视频查看详情↓↓L生态环境部的微博视频,,,,,0,0,0,2020-11-14 08:40,iPhone客户端,,"http://f.video.weibocdn.com/PiEmaCZ1lx07HYIvLpeo010412010J9S0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663636&ssig=D%2FQ5GnxuYh&KID=unistore,video",
4566825256617312,Js2qFrLsQ,2635759011,福州生态环境,#福州环保在行动##福州生态美#【榕小环带你看一线】江阴港城经济区环境问题整改加紧收尾。26日，省、市中央生态环境保护督察反馈问题整改工作第三方监督评估组赴福清调研。目前，江阴港城经济区环境问题已完成56项整改任务，剩余江阴镇生活污水支管建设等2项预计本月底全面完成。　　福清市江阴港城经济区是福建第三大化工产业基地。去年，中央第二轮生态环境保护督察期间，督察组指出江阴港城经济区存在突出环境问题。　　“通过边整边改、举一反三，我们共梳理生成58项总投资约3亿元的整改清单。”江阴港城经济区管委会相关负责人介绍。　　省、市第三方监督评估组走进江阴污水处理厂看到，提标改造工程所涉及的15座建构筑物主体已成形，相关设备已完成安装，目前正在通水调试，确保出水达到一级A标准。连接新厝镇、江阴镇的污水干管及提升泵站在去年就完成了建设，可以满足具备纳管条件的村镇生活污水接入污水处理厂统一处理。　　在江阴镇，2个村庄的污水配套管网建设工程正朝着月底完工的目标发力。在新厝镇，记者看到无条件纳管的界下村已完成一条污水管建设，生活污水汇入一体式三格式化粪池，尾水经氧化塘净化后用于农田灌溉。　　新建隔油池、设收集池、修复管道……福州耀隆化工集团公司进门的一面墙吸引了监督评估组的注意，上头列出了22项整改治理项目，整改措施、期限、责任人一目了然。此前，福清生态环境局已对该公司违法行为进行立案查处，罚款70万元，并对涉案高管和直接责任人员予以行政拘留。通过立整立改，耀隆化工实现全厂雨污管网分离系统改造升级，为落实节能降耗要求，正推进清净下水回用改造。　　江阴港城经济区还探索利用“科技+制度”的方式建立起环境监管长效机制。“我们聘请了‘环保管家’，让日常企业监管更加合理科学、更有依据。同时，督促园区重点水污染排放企业安装完成水质在线监控及视频监控，严查偷排漏排、超标排放。”相关负责人说。　　“江阴港城经济区环境问题整改工作进度较快，希望在年底前保质保量地完成。要采取不同模式、因地制宜地推进农村生活污水整改，也要落实企业在线监控，在管道、污水处理设施建成基础上，确保污水纳管排放。”第三方监督评估组成员表示。　　据悉，第三方监督评估机制是我省为确保督察反馈问题按时保质整改到位而推出的创新举措，省市县三级组建起由人大代表、政协委员、业内人士、有关专家、群众代表组成的第三方监督评估小组，强化整改方案咨询、过程监督、结果评估。,,,,"福州环保在行动,福州生态美",0,0,0,2020-11-02 14:44,微博 weibo.com,"['http://ww2.sinaimg.cn/large/9d1a7da3ly1gkatqox7trj20u00k049g.jpg', 'http://ww3.sinaimg.cn/large/9d1a7da3ly1gkatqopaq8j20u00k0k4a.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3ly1gkatqp90nuj20u00k0nce.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3ly1gkatqou5yij20u00lx7i5.jpg', 'http://ww4.sinaimg.cn/large/9d1a7da3ly1gkatqotbo2j20u00k0ak4.jpg', 'http://ww4.sinaimg.cn/large/9d1a7da3ly1gkatqp9vugj20u00k0wpi.jpg']",,
4525968758289592,JaTz5yMv6,2540184984,福州晚报,【这个滨水公园年内迎客】昨日，记者获悉，备受关注的福州高新区轮船港滨水公园项目进展顺利。这个集生态修复、文化展示、市民健身、休闲商务等功能于一体的休闲带状公园正发生蜕变，年内将以焕然一新的面貌迎接游客，留住乡愁。来源：福州晚报O这个滨水公园年内迎客,,,,,0,0,2,2020-07-12 20:55,微博 weibo.com,,,
4502620159359038,J16a3DgIe,2635759011,福州生态环境,#福州生态美##福州环保分享#【福清这项水系综合治理工作将使龙江的水更清，景更美！】今年，我市按照福州关于开展水系综合治理的生态谋划，启动龙江流域综合治理攻坚行动，从污染源治理、水质改善、生态修复、防洪排涝、生态补水、智慧管理等方面着手，下大决心，花大力气，从根源上彻底解决龙江水质问题。@福清发布O福清这项水系综合治理工作将使龙江的水更清，景更美！,,,福清发布,"福州生态美,福州环保分享",0,0,0,2020-05-09 10:36,微博 weibo.com,"['http://ww1.sinaimg.cn/large/9d1a7da3gy1gelxx5fvz4j20u00miwkh.jpg', 'http://ww2.sinaimg.cn/large/9d1a7da3gy1gelxx5dtrij20u00mi41n.jpg', 'http://ww4.sinaimg.cn/large/9d1a7da3gy1gelxx570x4j20u00miacf.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1gelxx5e2obj20u00min0n.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1gelxx5bn30j20u00ddgnt.jpg', 'http://ww2.sinaimg.cn/large/9d1a7da3gy1gelxx5bkcdj20u00k040t.jpg']",,
4492445364377591,ICMVqimOj,5479081982,闽侯检察,【同心战“疫”添新绿，共植希望迎春来】孟春之月，盛德在木。4月9日上午，福州市检察院、福州高新区管委会、闽侯县检察院，在高新区虎秀山“福山福水检察蓝”生态修复示范园，联合开展共植“检察官林”活动。O同心战“疫”添新绿，共植希望迎春来,,,,,0,0,0,2020-04-11 08:45,微博 weibo.com,,,
4491841015140662,ICxcFlzjU,5344275173,福州高新区,【人勤春来早，植树正当时！福州高新区与福州市、闽侯县两级检察院开展2020年春季义务植树活动】清风拂面，大地回春，正是植树造林的好季节。4月9日上午，高新区与福州市、闽侯县两级检察院在南屿镇虎秀山公园福山福水检察蓝生态修复示范园开展义务植树活动。O人勤春来早，植树正当时！福州高新区与福州市、闽侯县两级检察院开展2020年春季义务植树活动,,,,,0,0,0,2020-04-09 16:43,专业版微博,"['http://ww4.sinaimg.cn/large/005PG26Fgy1gdnlxbce66j30rs0iik8x.jpg', 'http://ww2.sinaimg.cn/large/005PG26Fgy1gdnlxbf2cxj30rs0iitpr.jpg', 'http://ww4.sinaimg.cn/large/005PG26Fgy1gdnlxbdlpuj30rs0iitmi.jpg']",,
4456335233856201,InDxhgbaN,5253571641,福州检察之窗,#两会看检察##闽检检讯#【两会看检察一院一特色|闽侯：打造“福山福水检察蓝”生态修复示范园】福州市闽侯县林业资源丰富，森林覆盖率达57.6%，盗伐林木、故意毁坏林木等破坏生态资源犯罪案件屡禁不止。近3年以来，福州市@闽侯检察共批准逮捕破坏环境资源类案件66件114人，起诉95件152人。为更好地修复受损的生态环境，闽侯县检察院大胆创新，探索实行生态修复公益模式，联合市检察院、福州高新区在福州高新区虎秀山市民公园设立集公益修复、法治宣传、警示教育和工作展示于一体的“福山福水检察蓝”生态修复示范园，既为认罪认罚认修复当事人进行生态异地修复提供场所保障，又有效传播生态修复理念。O闽侯：打造“福山福水检察蓝”生态修复示范园,,,闽侯检察,"两会看检察,闽检检讯",1,0,0,2020-01-02 17:16,HUAWEI nova 3,,,
4421101679883429,I8QWXFt89,2101871267,YSY-楊世遠,醉美福州城醉美福州城福州晋安河畔最美景观带项目以生态修复为改造目标，实现水清、岸绿、景美的景观效果。如今晋安河公园已呈现出“十里花径、十里榕荫”的醉人景象。晋安河是福州市最长，流域最大的城市内河。经过近几年的治理，晋安河从原先的脏乱差摇身一变成了福州最美内河之一。福州印象#福州景色##福州约拍#福州约拍#带你走遍福州#@福州摄影圈@福州摄影发烧友@福州身边事儿@福州今日热点@福州小猪网@随手拍福州@福州建设发展@福州发布@同城爆料@福州头条@福州街头巷尾@福州市旅游发展委员会@福州今日热点@福州气象@新浪福建@新浪福建#福州景色#@福建第一眼@福建频道@播报福州@福州吃喝玩乐疯@福州城市发展@福州大城小事儿@福州胡州人@福州ING@福州JEEP在线@福州没有新鲜事@播报福州@福州民生事儿摄影人@福州圈@新浪福建旅游@福州市文化和旅游局#晋安河#,,,"福州摄影圈,福州摄影发烧友,福州身边事儿,福州今日热点,福州小猪网,随手拍福州,福州建设发展,福州发布,同城爆料,福州头条,福州街头巷尾,福州市旅游发展委员会,福州气象,新浪福建,福建第一眼,福建频道,播报福州,福州吃喝玩乐疯,福州城市发展,福州大城小事儿,福州胡州人,福州ING,福州JEEP在线,福州没有新鲜事,福州民生事儿,福州圈,新浪福建旅游,福州市文化和旅游局","福州景色,福州约拍,带你走遍福州,晋安河",0,2,2,2019-09-27 11:50,醉美福州城超话,"['http://ww2.sinaimg.cn/large/7d4802a3gy1g7dxlev05kj217c0oc4qp.jpg', 'http://ww2.sinaimg.cn/large/7d4802a3gy1g7dxld8iycj20kz0vdavw.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxle4r5qj218w0p97wh.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxlbcnycj218w0p97wh.jpg', 'http://ww2.sinaimg.cn/large/7d4802a3gy1g7dxlh0nz2j218w0p97wh.jpg', 'http://ww1.sinaimg.cn/large/7d4802a3gy1g7dxlc4rdwj218w0p9hbq.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxlcrs1pj218m0p3e81.jpg', 'http://ww4.sinaimg.cn/large/7d4802a3gy1g7dxlfld1kj20ru15p7wh.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxlg9ncyj218w0p91kx.jpg']",,
4421100861279374,I8QVE5mP4,2101871267,YSY-楊世遠,醉美福州城醉美福州城福州晋安河畔最美景观带项目以生态修复为改造目标，实现水清、岸绿、景美的景观效果。如今晋安河公园已呈现出“十里花径、十里榕荫”的醉人景象。晋安河是福州市最长，流域最大的城市内河。经过近几年的治理，晋安河从原先的脏乱差摇身一变成了福州最美内河之一。福州印象#福州景色##福州约拍#福州约拍#带你走遍福州#@福州摄影圈@福州摄影发烧友@福州身边事儿@福州今日热点@福州小猪网@随手拍福州@福州建设发展@福州发布@同城爆料@福州头条@福州街头巷尾@福州市旅游发展委员会@福州今日热点@福州气象@新浪福建@新浪福建#福州景色#@福建第一眼@福建频道@播报福州@福州吃喝玩乐疯@福州城市发展@福州大城小事儿@福州胡州人@福州ING@福州JEEP在线@福州没有新鲜事@播报福州@福州民生事儿摄影人@福州圈@新浪福建旅游@福州市文化和旅游局#晋安河#,,,"福州摄影圈,福州摄影发烧友,福州身边事儿,福州今日热点,福州小猪网,随手拍福州,福州建设发展,福州发布,同城爆料,福州头条,福州街头巷尾,福州市旅游发展委员会,福州气象,新浪福建,福建第一眼,福建频道,播报福州,福州吃喝玩乐疯,福州城市发展,福州大城小事儿,福州胡州人,福州ING,福州JEEP在线,福州没有新鲜事,福州民生事儿,福州圈,新浪福建旅游,福州市文化和旅游局","福州景色,福州约拍,带你走遍福州,晋安河",0,1,1,2019-09-27 11:47,醉美福州城超话,"['http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxha28b5j218w0p9b29.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxhawylmj218w0p9e81.jpg', 'http://ww1.sinaimg.cn/large/7d4802a3gy1g7dxhbozcwj218m0p37wh.jpg', 'http://ww4.sinaimg.cn/large/7d4802a3gy1g7dxhe5ky1j20u018w7wh.jpg', 'http://ww1.sinaimg.cn/large/7d4802a3gy1g7dxhezf9lj218w0p9b29.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxhchflnj217r0ome81.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxhgtomfj20u018w7wh.jpg', 'http://ww3.sinaimg.cn/large/7d4802a3gy1g7dxhs418jj218w0p9b0f.jpg', 'http://ww2.sinaimg.cn/large/7d4802a3gy1g7dxiuzgifj218w0p94qp.jpg']",,
