id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4485619588077032,IzVm6xTcI,1714800385,第一帮帮团,【福州连江推行中水回用、变废为宝，节约了水还减少废水排放量！】我们都知道工业废水如果处理不好，会严重污染当地环境。为此，连江县积极引导纺织、化工、食品加工等重点用水企业，大力推行中水回用，变废为宝，节约用水，提高水资源利用率。via@第一帮帮团#福建爆料##福州爆料##企业复工后发现20多名空气员工##纽约市长称特朗普再不行动更多人将丧命##第一帮帮团#L第一帮帮团的微博视频,,,第一帮帮团,"福建爆料,福州爆料,企业复工后发现20多名空气员工,纽约市长称特朗普再不行动更多人将丧命,第一帮帮团",0,0,2,2020-03-23 12:41,深度报道 · 视频社区,,"http://f.video.weibocdn.com/004CBtgygx07BVbkP0wE01041200frDL0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663631&ssig=3dqQnFwA%2Bl&KID=unistore,video",
4441147466035751,IhgqSpkaP,2414535480,福州大学绿色联盟,【福州大学绿色联盟】#绿色小精灵#@绿闽青年志愿服务中心✨✨铛铛铛！在11.20这天，福州大学绿色联盟的小部员们又来到麦浦小学环教啦！✨今天的环教主题是“保护水资源”。大家都知道，水，是生命之源，那么大家对我国或我省的水资源状况是否有一定的了解呢？✨来环教的小伙伴们向小朋友们介绍了我国的水资源现状和福建省的水资源现状，包括我国水资源的分布以及福建的主要河流，并且介绍了我省河流污染现状及解决措施。小朋友们都积极参与了课堂互动！相信通过这次的环教后，小朋友们不仅了解了水资源现状，也学会了如何节约和合理利用水资源！期待和小朋友的再次相遇！,,,绿闽青年志愿服务中心,绿色小精灵,0,0,2,2019-11-21 19:25,全屏双摄 OPPO A5,"['http://ww3.sinaimg.cn/large/8feae338gy1g95vt5sxs7j21n918gqu6.jpg', 'http://ww1.sinaimg.cn/large/8feae338gy1g95vt6t8xuj21n918g7u0.jpg', 'http://ww4.sinaimg.cn/large/8feae338gy1g95vt7qzb8j21n918gnn4.jpg', 'http://ww3.sinaimg.cn/large/8feae338gy1g95vt8jsdej218g1n9asd.jpg', 'http://ww2.sinaimg.cn/large/8feae338gy1g95vt93opmj20tn0m8dj3.jpg', 'http://ww2.sinaimg.cn/large/8feae338gy1g95vt9jsngj20tn0m842k.jpg']",,
4437732434532548,IfPALj17C,2635759011,福州生态环境,【【有奖问答|第一期】水污染防治，这些知识一定要懂！】生活中，水对于每个人都至关重要为提高小伙伴们水污染防治意识积极主动参与到水资源的保护中营造良好的学法、守法氛围11日起，福州生态环境公众号开展“水污染防治法有奖问答”活动期待您的参与哦~O网页链接,,,,,0,0,0,2019-11-12 09:15,专业版微博,,,
4358487415169413,HoxwxlGND,2815224714,福建广播电视新闻中心,"【福州：拍摄""快闪""音乐视频守护美丽晋安河】一场""快闪""音乐视频拍摄宣传活动近日在福州晋安河畔公园举行，增强大家爱河护河、保护水资源意识。O福州：拍摄""快闪""音乐视频守护美丽晋安河",,,,,1,0,3,2019-04-07 17:03,广电哥的Android,['http://ww1.sinaimg.cn/large/a7cceb8agy1g1tk432dkqj20qo0k0ab5.jpg'],,
4331913072150116,HdocH91li,5253571641,福州检察之窗,#闽检检讯#【“三聚焦”打好“餐桌保卫战”】近年来，福州市检察机关聚焦水资源保护、食品原材料安全以及网络餐饮平台，从食物的来源，到食物的原材料，再到食物的销售环节，打响“餐桌保卫战”，以精准监督守护群众“舌尖上的安全”。O“三聚焦”打好“餐桌保卫战”,,,,闽检检讯,1,0,0,2019-01-24 09:07,HUAWEI nova 3,,,
4331644078534636,HdhcPzOfq,5079113822,福建检察,#福建检讯#【福州检察“三聚焦”打好“餐桌保卫战”】近年来，福州市检察机关聚焦水资源保护、食品原材料安全以及网络餐饮平台，从食物的来源，到食物的原材料，再到食物的销售环节，打响“餐桌保卫战”，以精准监督守护群众“舌尖上的安全”。@福州检察之窗O福州检察“三聚焦”打好“餐桌保卫战”,,,福州检察之窗,福建检讯,8,1,5,2019-01-23 15:18,微博 weibo.com,['http://ww1.sinaimg.cn/large/005xJrwGgy1fzgjjv8swwj30u00gujuw.jpg'],,
4318363327652908,H7HIgw6S0,2378766362,福州软件学院格林环境保护协会,绿色小精灵在阳光明媚的日子里，今天格林环境保护协会去到了福州的鼓一小学，进行本学期第二次环教，这一次的主题是“珍贵的水”，让孩子们了解我国的水资源现状以及水资源分布。保护身边的环境，节约用水，从你我做起，做一个环保的小公民。环保路上，你我同行！@绿闽青年志愿服务中心,,,绿闽青年志愿服务中心,,0,0,0,2018-12-17 23:45,iPad mini,"['http://ww1.sinaimg.cn/large/8dc9181agy1fya69im6bwj23342bc4qs.jpg', 'http://ww4.sinaimg.cn/large/8dc9181agy1fya69kmx3pj23342bcu0y.jpg', 'http://ww2.sinaimg.cn/large/8dc9181agy1fya69mqrygj22bc334qv7.jpg', 'http://ww2.sinaimg.cn/large/8dc9181agy1fya69pcliqj23341qihdv.jpg', 'http://ww4.sinaimg.cn/large/8dc9181agy1fya69cjj7ij20ha0h9q4z.jpg', 'http://ww3.sinaimg.cn/large/8dc9181agy1fya69r36hoj22bc2bcnii.jpg', 'http://ww3.sinaimg.cn/large/8dc9181agy1fya69sqcx3j23k02o0npf.jpg', 'http://ww1.sinaimg.cn/large/8dc9181agy1fya69uqg09j23341qiu0y.jpg', 'http://ww4.sinaimg.cn/large/8dc9181agy1fya69x577sj23342bc7wk.jpg']",,
4285979038557406,GA4HRzUaG,2491561652,福州房天下,《市政协重点提案办理协商聚焦“内河水资源保护完善水污染治理”》水污染治理，近年来在福州是“经久不衰”的话题。2016年以来，福州市委、市政府高度重视全市水资源环境保护，实施了水源保护、环保设施建设、水生态修复、养殖污染治理、严控工业污染等五大类共105项水环境综合整治项目，我市水环境质量得到改善。今年，全市各级各相关部门在巩固提升黑臭水体治理第一阶段工作成效的基础上，继续深入推进城区水系综合治理各项工作。水资源保护还有何可为？日前，农工党福州市委会通过调研，认真走访和邀请专家座谈研究，深入分析了目前我市内河水资源保护和水污染治理工作中存在的问题和困难，并结合实际，从政策、法规、管理等方面提出切实建议和措施。12日，市政协人资环委召开提案办理协商会，市建委、市水利局、市环保局等部门负责人与提案单位、部分市政协委员汇聚一堂，探讨福州水资源保护及水体污染协同防治途径。,,,,,0,0,0,2018-09-19 15:01,专业版微博,,,
4284162493669769,GzjrXfoFP,2491561652,福州房天下,《市政协关注内河治水长效管理部门：年底前完成168个串珠公园建设》福州新闻网9月13日讯（记者邱陵）今年初，市农工党针对福州内河水资源保护及完善污染治理提出建议，被列为重点提案。12日，市政协人资环委召开提案办理协商会，市建委、市水利局、市环保局等市直部门负责人与提案单位、部分市政协委员面对面交流，探讨建立治水的长效机制。建议：规划引领，加大综合治理力度近年来，福州市打响内河治水攻坚战，取得一系列成果，城区内河面貌焕然一新。市农工党通过开展调研，认真走访和邀请专家座谈研究，深入分析目前治水工作中存在的困难，从政策、法规、管理等方面提出建议和措施。市农工党调研发现，福州内河的主要污染源以有机污染物为主，居民生活垃圾、建筑垃圾、畜禽粪便等成为污染物的主体。此外，农村生活垃圾污染未得到有效改善、雨污分流不彻底、内河流动性减弱、城中村和棚户区污染严重等问题也困扰着治水进程。“治水过程中，应树立城乡一体、污染治理与源头防控并重、建设与管理并重的理念。”市农工党建议，要完善全市治水规划，尤其做好新区、城中村地区污染综合整治规划和污染收集管网规划，加快城中村和棚户区的综合整治工作。对于治理的手段，市农工党建议应加大综合治理力度，减少污染物源头排放，完善城区污水管网建设，加强内河河水的流动性，并在市区内河两岸设立绿化带和公园，提供亲水公共开放空间。比如，在源头防控方面，在城区强力推行餐饮业隔油池等设施建设，强化属地管理，完善清掏维护机制，减少油污进入管网影响管道畅通。同时，市农工党也建议提高全民参与热情，可建立公众对水环境的反映渠道，提高珍惜水资源、保护水生态的自觉性和主动性，营造各界合力参与的良好氛围。,,,,,0,0,0,2018-09-14 14:43,专业版微博,,,
4275089002191464,Gvvpi9c6c,6629770482,用户6629770482,应华北电力大学美丽中国节能环保行动号召，我校学生到能源行业华能福州电厂，围绕能源利用、环境污染、水资源保护、垃圾处理、气候变化、资源开发、自然灾害预防等内容，开展能源利用调研、生态文明调研、环保知识普及、发展建言献策等活动，就发现的问题形成调研报告并提出对策建议，提高环境保护危机意识，宣传“绿水青山就是金山银山”的发展理念，弘扬低碳生活新风尚。,,,,,0,0,0,2018-08-20 13:48,iPhone客户端,"['http://ww3.sinaimg.cn/large/007eFQ9Ygy1fug493o6tgj30qo0k075x.jpg', 'http://ww4.sinaimg.cn/large/007eFQ9Ygy1fug4929e5uj30qo0k0q5m.jpg', 'http://ww1.sinaimg.cn/large/007eFQ9Ygy1fug49z7rljj30tn14jnpd.jpg', 'http://ww4.sinaimg.cn/large/007eFQ9Ygy1fug4a3ynerj30k00qoac8.jpg', 'http://ww4.sinaimg.cn/large/007eFQ9Ygy1fug4a9a6ymj30qo0k0whj.jpg']",,
