id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4543921293632105,JiqANfeSl,2635759011,福州生态环境,#福州环保分享#【第二轮第二批中央生态环保督察今天启动】第二轮第二批中央生态环境保护督察8月30日启动，7个督察组将陆续进驻北京、天津、浙江3省（市）和中国铝业集团有限公司、中国建材集团有限公司两家中央企业，并对国家能源局、国家林业和草原局两个部门开展督察试点。督察进驻时间约为一个月。L山东环境的微博视频,,,,福州环保分享,0,0,1,2020-08-31 09:52,微博 weibo.com,,"http://f.video.weibocdn.com/ZQFNs8p5lx07G304ECne01041200eMh70E010.mp4?label=mp4_ld&template=480x270.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1607663630&ssig=xqWqi7tnGS&KID=unistore,video",
4536770244378844,JfqyQin8w,2635759011,福州生态环境,#福州环保在行动##福州环保分享#【长乐区100件中央生态环保督察交办信访件全部交账销号】2019年中央第二生态环境保护督察组进驻福建督察期间，共交办长乐区信访件100件。长乐区委、区政府高度重视，全力推动信访件问题整改，经过全区上下的共同努力，截至2020年8月7日，100件信访件全部实现交账销号。O长乐区100件中央生态环保督察交办信访件全部交账销号,,,,"福州环保在行动,福州环保分享",1,1,3,2020-08-11 16:16,微博 weibo.com,,,
4528328519717376,JbSX9ELVS,3365993480,福建日报,2分钟闽式新闻早点（7月19日）：【全省43.3万名初三学生昨起参加中考】【福建公开中央生态环保督察整改群众监督电话】【全部编内！福建这些单位招人啦！】【最新！厦门大学、福州大学2020本科招生计划来了！】【28.8亿元！厦门海关查获成品油走私大案】O2分钟闽式新闻早点（7月19日）,,,,,0,0,1,2020-07-19 09:11,微博 weibo.com,,,
4521835108429342,J9a1UzmR8,2635759011,福州生态环境,#福州环保分享##福州绿色生活#【永泰县全面完成第二轮中央生态环保督察交办信访件交账销号工作】原文请点击:↓↓↓↓O永泰县全面完成第二轮中央生态环保督察交办信访件交账销号工作,,,,"福州环保分享,福州绿色生活",0,0,0,2020-07-01 11:09,微博 weibo.com,,,
4506621080731559,J2Mfa34jl,2635759011,福州生态环境,#福州环保在行动##福州生态美#【市委常委会召开会议研究抓好第二轮中央生态环保督察反馈意见涉及我市】19日，省委副书记、市委书记王宁主持召开市委常委会会议，传达学习省委研究第二轮中央生态环境保护督察反馈意见整改工作会议精神，研究我市整改工作方案；传达学习《党委（党组）落实全面从严治党主体责任规定》主要精神，听取我市此项工作汇报，审议研究市委落实全面从严治党主体责任清单。O研究抓好第二轮中央生态环保督察反馈意见涉及我市问题整改工作O市委常委会召开会议研究抓好第二轮中央生态环保督察反馈意见涉及我市,,,,"福州环保在行动,福州生态美",0,0,1,2020-05-20 11:34,微博 weibo.com,,,
4458519904561284,IoymWj8B6,2553604372,福州新闻网fznews,#2020福州两会#【直播|福州市十五届人大四次会议今日闭幕】#全力打造幸福之城#王宁说，始终牢记生态文明建设是千年大计，扎实推进生态文明试验区建设，深入实施大气、水、土壤污染防治，全力抓好中央生态环保督察的整改落实，持续开展绿满榕城等行动，让蓝天白云、绿水青山、清新空气，永远伴随福州人民。坚持发展新时代“枫桥经验”，持续推进解难题、化积案行动，打好扫黑除恶的攻坚战，全力维护社会安定稳定。直播地址：O网页链接,,,,"2020福州两会,全力打造幸福之城",0,0,0,2020-01-08 17:57,微博 weibo.com,['http://ww1.sinaimg.cn/large/9834e914gy1gapadbt28tj20m80etayp.jpg'],,
4417080503988485,I7alcgJAp,2635759011,福州生态环境,【市生态环境局召开“不忘初心、牢记使命”主题教育工作会议市委第一巡回指导组到会指导】9月12日下午，市生态环境局召开“不忘初心、牢记使命”主题教育工作会议。福建省生态环境厅生态环保督察专员、福州市生态环境局党组书记、局长郭海阳主持会议并做动员部署。市委第一巡回指导组副组长、市直,,,,,0,0,0,2019-09-16 09:32,专业版微博,"['http://ww3.sinaimg.cn/large/9d1a7da3ly1g713rzot71j20u00k0wgf.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3ly1g713rznczxj20m80etmyi.jpg']",,
4410910224988032,I4zP8kVC8,2635759011,福州生态环境,【福州市生态环境局结合第二轮中央生态环保督察，先行融入“不忘初心、牢记使命”主题教育】7月中旬至8月中旬，中央第二生态环境保护督察组对福建省开展第二轮中央生态环境保护督察，并在7月25日至8月5日，下沉福州市督察。一个月来，福州市生态环境局全员上岗、放弃休假，主动作为、边督边改，用实际行动践行生态环保人的初心和使命，为先行融入“不忘初心、牢记使命”主题教育打下坚实基础。O福州市生态环境局结合第二轮中央生态环保督察，先行融入“不忘初心、牢记使命”主题教育,,,,,0,0,0,2019-08-30 08:53,360安全浏览器,,,
4407678544022025,I3dKKgSjn,2635759011,福州生态环境,【恪尽职守，任劳任怨！这是一项最迟结束的任务】8月中旬，中央第二生态环保督察组结束在闽行程，福州的各项配合迎检工作也基本结束，大部分工作人员回归日常工作岗位，但仍有一部分工作人员还在继续，认真办理中督转办信访件的反馈工作。O恪尽职守，任劳任怨！这是一项最迟结束的任务,,,,,0,0,0,2019-08-21 10:51,专业版微博,"['http://ww1.sinaimg.cn/large/9d1a7da3gy1g673zi2e3qj20u00nswfz.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1g673zi1neuj20gw0codgg.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1g673zi1x2mj20c00fw0td.jpg', 'http://ww3.sinaimg.cn/large/9d1a7da3gy1g673zi2stwj20gw0cn0tc.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1g673zi58m7j20g00bz3z3.jpg', 'http://ww1.sinaimg.cn/large/9d1a7da3gy1g673zz1f47j20f8075q3f.jpg']",,
4405685766662408,I2nUArXcc,1895697240,福州日报,福州新闻【今晚8时，中央生态环保督察组接完最后一个群众来电】7月15日至8月15日，中央第二生态环境保护督察组进驻福建，开展为期一个月的生态环境保护督察。8月15日20时，中央第二生态环境保护督察组接听完最后一位群众来电。截至当日，福建已累计收到并移交地方办理的信访件共4257件（含重复643件）。已办结2861件（含阶段性办结）。,,,,,0,1,3,2019-08-15 22:53,微博 weibo.com,"['http://ww4.sinaimg.cn/large/70fe0b58gy1g60r4im8l7j20m80ciaaw.jpg', 'http://ww1.sinaimg.cn/large/70fe0b58gy1g60r4in3gzj20u00iejsr.jpg', 'http://ww1.sinaimg.cn/large/70fe0b58gy1g60r4ineabj20u00jfdhl.jpg', 'http://ww3.sinaimg.cn/large/70fe0b58gy1g60r4iodxrj20u0140q5n.jpg', 'http://ww4.sinaimg.cn/large/70fe0b58gy1g60r4infftj20u00hcmyb.jpg', 'http://ww3.sinaimg.cn/large/70fe0b58gy1g60r4iu0toj20u00j9gnp.jpg', 'http://ww3.sinaimg.cn/large/70fe0b58gy1g60r4ip2x9j20kw1hh41b.jpg', 'http://ww1.sinaimg.cn/large/70fe0b58gy1g60r4ipjvzj20m00bp0t2.jpg', 'http://ww4.sinaimg.cn/large/70fe0b58gy1g60r4it4b1g20hs14phdt.jpg']",,
